#front|back
戲|[xì] (戏剧 xìjù) drama, play; 游戏 yóuxì game
篇|[piān] sheet of paper, piece of writing
趣|[qù] interest, fun; 兴趣 interest; 趣味 interest, taste
束|[shù] bundle; 束缚 shùfù tie up; 结束 jiéshù finish
謂|[wèi] call; 所谓 so-called
概|[gài] 大概 roughly, most likely; 概念 concept; 气概 spirit
射|[shè] shoot, fire, send out; 注射 inject; 射箭 archery
課|[kè] lesson; 课本 kèběn textbook
洞|[dòng] hole, cave
麻|[má] hemp, (=芝麻 zhīma) sesame; 麻烦 máfan bother<br /><br />[mā] 麻麻黑 māmahēi dusk; 乱麻麻 luànmāmā messy, disorderly
杯|[bēi] cup; 干杯 gānbēi cheers
透|[tòu] penetrate, thorough; 透镜 tòujìng lens; 透明 transparent
郵|[yóu] 邮局 yóujú post office; 邮票 yóupiào stamp
榮|[róng] (=光荣 guāngróng, =荣誉 róngyù) glory, honor
懂|[dǒng] understand
擁|[yōng] embrace, crowd; 拥护 yōnghù support; 拥挤 yōngjǐ crowded
獻|[xiàn] donate; 贡献 gòngxiàn contribution
洗|[xǐ] wash; 洗澡 xǐzǎo bath, shower<br /><br />[Xiǎn] {family name}>
休|[xiū] stop, (=休息 xiūxi) rest; 退休 retire; 休养所 rest home
迫|[pò] compel; 压迫 yāpò oppress; 被迫 bèipò be compelled<br /><br />[pǎi] 迫击炮 pǎijīpào mortar
嘆|[tàn] sigh
狗|[gǒu] dog; 猎狗 liègǒu hound; 疯狗 fēnggǒu mad dog
偷|[tōu] steal; 小偷 xiǎotōu thief
陰|[yīn] opposite of 阳 yáng; 阴沉, 阴天 cloudy; 阴暗 gloomy
汽|[qì] vapor, steam; 汽由 qìyóu gasoline; 汽车 qìchē car
拜|[bài] honor, worship; 礼拜 lǐbài week<br /><br />[bái] 拜拜 báibai bye-bye
橫|[héng] horizontal<br /><br />[hèng] perverse
鼓|[gǔ] beat, play, drum, arouse<br /><br />[gū] 胖鼓鼓 pànggūgū fat, plump, full, bulging
健|[jiàn] 健康 jiànkāng health
厚|[hòu] thick, deep, kind, rich (food) (compare with 薄 báo thin)
簽|[qiān] 签订 qiāndìng conclude and sign (treaty, etc); 签名 qiānmíng signature
丹|[dān] cinnabar, red; 丹田 dāntián pubic region; 丹麦 Dānmài Denmark
洛|[Luò] name of a river in 河南 Hénán and 陕西 Shǎnxī
喊|[hǎn] (=喊叫 hǎnjiào, 呼喊 hūhǎn, 叫喊 jiàohǎn) shout, cry out
蓉|[róng] (=城都 Chéngdū); 芙蓉 fúróng lotus, cottonrose hibiscus
輪|[lún] wheel
岸|[àn] shore
奶|[nǎi] breasts, milk
淡|[dàn] thin, light; 淡蓝 dànlán (= 浅蓝 qiǎnlán) light blue
潮|[cháo] tide; (=潮湿 cháoshī) moist; 高潮 gāocháo climax
訓|[xùn] lesson
圓|[yuán] round, circle; (sometimes used for 元 yuán dollar)
卷|[juǎn] roll; 春卷 spring roll (F捲)<br /><br />[juàn] volume, book, exam paper<br /><br />[quán] (=鬈 quán) curly hair
釋|[shì] 解释 jiěshì explain; 释放 shìfàng release
諸|[zhū] all, various, {family name}>
妙|[miào] wonderful, subtle; 莫名其妙 mòmíngqímiào be baffled
唯|[wéi] 唯物主义 wéiwùzhǔyì materialism<br /><br />[wěi] {expressing acceptance of a request/command}>
奪|[duó] force one's way; 夺取 seize, capture; 争夺 fight for
逐|[zhú] expel, pursue, one by one; 逐渐 gradually; 逐步 step by step
燕|[yàn] (=燕子 yànzi) swallow (bird)<br /><br />[Yān] {family name}>
呆|[dāi] stupid, silly, foolish, stay; 呆板 dāibǎn stiff<br /><br />[ái] 呆板 áibǎn stiff
測|[cè] (测量 cèliáng) survey, measure; 观测 guāncè observe
浪|[làng] (=波浪 bōlàng) wave (of water); 浪费 waste
抽|[chōu] take out; shrink; whip; 抽烟 smoke tobacco
蓋|[gài] cover, shell; 盖子 lid
偏|[piān] slanting, leaning; stubbornly; unfortunately
閱|[yuè] experience, pass through, review; (阅读 yuèdú) read
購|[gòu] (购买 gòumǎi) purchase
途|[tú] way, route; 前途 prospect; 途经 via
縱|[zòng] longitudinally; 操纵 cāozòng operate; 纵对 zòngduì column, file
耶|[yé] {archaic interrogative particle}>, (=爷 yé) grandfather<br /><br />[Yē] 耶稣 Yēsū Jesus
摸|[mō] feel, stroke; 摸索 mōsuo grope; 捉摸 zhuōmō fathom
掛|[guà] hang, put up
航|[háng] sail, fly; 航行 hángxíng navigate; 航空 aviation
擇|[zé] (=选择 xuǎnzé) choose<br /><br />[zhái] choose
恨|[hèn] hate
舍|[shè] 宿舍 sùshè dormitory<br /><br />[shě] (F捨) give up, abandon; 舍不得 shěbùdé be loathe to leave at home
拳|[quán] box (with fists); 太极拳 tàijíquán Taiji shadowboxing
竹|[zhú] bamboo
唐|[táng] {family name}>, Tang Dynasty, boastfull, exaggerated; (唐突 tángtū) rude
譽|[yù] praise; 荣誉 róngyù honor; 名誉 míngyù fame
乘|[chéng] ride (a vehicle); multiply<br /><br />[shèng] chariot
弱|[ruò] weak; 微弱 wēiruò faint; 软弱 ruǎnruò feeble
檢|[jiǎn] (=检查 jiǎnchá) inspect
宮|[gōng] palace, temple, {family name}>; 子宫 zǐgōng womb
儀|[yí] ceremony, rite, gift, (=仪表 yíbiǎo) appearance, bearing, (=仪器 yíqì) instrument, apparatus
旗|[qí] flag
含|[hán] keep in mouth, contain
袁|[Yuán] {family name}>
址|[zhǐ] foundation of a building; 地址 dìzhǐ address
擺|[bǎi] put, arrange, sway, wave; 摇摆舞 yáobǎiwǔ "shake-sway-dance", waggle dance (of bees), rock 'n' roll
奧|[ào] 奥秘 àomì secret, mystery; 奥妙 àomiào profound, secret
番|[fān] {classifier for kinds, times, occurrences etc.}>; 番茄 fānqié tomato<br /><br />[Pān] 番禺 Pānyú county in Guǎngdōng
混|[hùn] mix up; 混乱 hùnluàn chaos<br /><br />[hún] muddy, muddled
滅|[miè] extinguish; 消灭 eliminate; perish; 歼灭 annihilate
握|[wò] hold, grasp; 掌握 comprehend
牙|[yá] (=牙齿 yáchǐ) tooth
慮|[lǜ] (考虑 kǎolǜ) consider; 忧虑 yōulǜ worry about
召|[zhào] 召开 zhàokāi convene
猛|[měng] fierce
寬|[kuān] wide, broad, extend, relax
盛|[chéng] fill; contain<br /><br />[shèng] flourishing; 茂盛 luxuriant
核|[hé] pit, nucleus; 核桃 hétao walnut<br /><br />[hú] 核儿 húr {colloquial}> pit
袋|[dài] bag, pocket
紹|[shào] 介绍 jièshào introduce
補|[bǔ] mend
典|[diǎn] 典型 diǎnxíng typical; 古典 classical; 词典 dictionary
圈|[quān] circle<br /><br />[juàn] pen, sty<br /><br />[juān] shut up in a pen
丰|[fēng] good-looking (F豐) 丰富 fēngfù abundant
雅|[yǎ] 文雅 wényǎ cultured, refined; 雅致 yǎzhi elegant<br /><br />[yā] 鸦片 yāpiàn opium
吉|[jí] lucky, auspicious
贊|[zàn] 赞成 approve of; 称赞 praise
茶|[chá] tea; 茶叶 cháyè tea leaves; 红茶 hóngchá "red tea" = black tea
亦|[yì] also; 反之亦然 fǎnzhīyìrán and vice-versa
谷|[gǔ] (山谷) valley; (F穀) (=谷物 gǔwù) grain; 谷子 gǔzi millet
穩|[wěn] (稳定 wěndìng) stable, steady; 稳当 wěndang reliable
汇|[huì] (F彙) gather together; 汇报 guìbào to report; 词汇 cíhuì vocabulary; (F匯) converge, remit
厲|[lì] 厉害 lìhai terrible, formidable, {family name}><br /><br />[lài] name of an ancient country<br /><br />{Compare with 历 lì experience}
屆|[jiè] to fall due, {classifier for year of graduation, regular sessions, meetings, etc.}>
跡|[jì] (=痕迹 hénjì) mark, trace, vestige; 奇迹 qíjì miracle
雷|[léi] thunder; 雷雨 thunderstorm; 雷达 radar
序|[xù] 秩序 zhìxu order; 程序 procedure; 次序 order
寒|[hán] (寒冷) cold
附|[fù] enclose, attach; 附近 fùjìn vicinity, nearby
雞|[jī] chicken; 宫保鸡丁 gōngbǎo jīdīng spicy diced chicken
遭|[zāo] meet with disaster
挑|[tiāo] (挑选) choose<br /><br />[tiǎo] poke; 挑战 challenge<br /><br />[tāo] 挑达 tāotà walk casually to and fro
肩|[jiān] (肩膀 jiānbǎng) shoulder; (肩负 jiānfù) take on
憶|[yì] (记忆 jìyì, 回忆 huíyì) remember, recall; memory
柔|[róu] yielding; 柔软 róuruǎn soft; 柔和 róuhe gentle
戴|[dài] put on; 戴眼镜 dài yǎnjìng wear glasses; 戴上帽子 dàishang màozi put on a hat
惜|[xī] (珍惜) cherish; 可惜 kěxī it's too bad; 不惜 bùxī not hesitate
隔|[gé] separate, stand between; 隔壁 next door
豪|[háo] (=毫不 hǎobù, =好不 hǎobù) not at all
誠|[chéng] (诚实) honest
瑞|[ruì] auspicious, good omen; 瑞雪 timely snow
減|[jiǎn] subtract; 减少 jiǎnshǎo decrease
播|[bō] sow, seed; 广播 broadcast; 传播 disseminate
麼|[me] (S么)<br /><br />[mó] 麽(F麼) 幺麽 yāomó petty, insignificant
針|[zhēn] needle; 方针 policy; 针刺 zhēncì acupuncture
棋|[qí] board game; 象棋 chess; 围棋 Go; 跳棋 Checkers
競|[jìng] 竞争 jìngzhēng compete; 竞赛 contest
臂|[bì] (手臂 shǒubì) arm<br /><br />[bei] 胳臂 gēbei arm
挺|[tǐng] quite, very; endure, stand; 挺立 stand upright
操|[cāo] conduct, grasp; 操纵 cāozòng operate<br /><br />[cào] make trouble
腰|[yāo] waist
狂|[kuáng] (疯狂 fēngkuáng) crazy
替|[tì] in place of; (代替 dàitì) replace, substitute
梅|[méi] plum, prune; 梅花 plum blossom; 梅林 plum grove
固|[gù] 巩固 gǒnggù consolidate; 固定 gùdìng fixed
倫|[lún] 伦理 lúnlǐ ethics
宋|[Sòng] the Song dynasty (960-1279); 宋体字 Sòng tǐzì "Song"-typeface
鋼|[gāng] steel; 钢笔 fountain pen; 钢琴 piano<br /><br />[gàng] sharpen
諾|[nuò] 诺言 nuòyán a promise
殘|[cán] injure, barbarous, incomplete, remnant
延|[yán] (延长 yáncháng) prolong
虎|[hǔ] (老虎 lǎohǔ) tiger<br /><br />[hū] 马马虎虎 mǎmahūhū<br /><br />[hù] 虎不拉 hùbulǎ {zool.}> shrike
迅|[xùn] 迅速 xùnsù rapid, swift
災|[zāi] (灾难 zāinàn, 灾害 zāihài) disaster
悄|[qiāo] 悄悄 qiāoqiāo quietly<br /><br />[qiǎo] 悄声 qiǎoshēng quietly
岳|[yuè] high mountain, wife's parents, {family name}>
喬|[qiáo] {family name}>; 乔木 qiáomù arbor
川|[chuān] river; 四川省 Sìchānshěng Sichuan Province; 冰川 bīngchuān glacier
仇|[chóu] revenge, hatered, {family name}>; 报仇 bàochóu get revenge<br /><br />[qiú] mate, {family name}>
季|[jì] (=季节 jìjié) season; 冬季 dōngjì winter; 四季 sìjì four seasons
吹|[chuī] blow
糧|[liáng] (粮食 liángshi) grain, food
聚|[jù] gather, get together; 核聚变 héjùbiàn nuclear fusion
譯|[yì] (翻译 fānyì) translate
珠|[zhū] (珠子 zhūzi) pearl, bead; 眼珠子 eyeball; 泪珠 teardrop
叔|[shū] (=叔叔 shūshu) uncle, father's younger brother
謀|[móu] scheme; 阴谋 conspiracy
礎|[chǔ] 基础 jīchǔ foundation, base, basis; 础石 chǔshí plinth
仁|[rén] benevolence, humanity
損|[sǔn] decrease; damage; 损失 sǔnshī lose, loss
融|[róng] (融化) melt (ice or snow; cf 熔 róng)
輛|[liàng] 车辆 car; 两辆车 liǎng liàng chē two cars
凈|[jìng] clean, complete; only; 干净 gānjìng clean
敏|[mǐn] 敏捷 mǐnjié agile; 敏感 mǐngǎn sensitive; 敏锐 mǐnruì acute
伊|[yī] {family name}>, he or she; 伊斯兰 Yīsīlán Islam
仙|[xiān] fairy, saint, immortal celestial being; 仙女 fairy maiden
巧|[qiǎo] clever, coincidentally; 巧妙 qiǎomiào ingenious
零|[líng] zero; 零件 língjiàn spare part; 零钱 spare change<br /><br />[līng] 孤零零 gūlīnglīng solitary, all alone; 丁零零 dīnglīnglīng tinkle, jingle
累|[lèi] tired; work hard<br /><br />[lěi] 积累 accumulate<br /><br />[léi] (F纍)
享|[xiǎng] (=享受 xiǎngshòu) enjoy (compare with 亨 hēng)
伴|[bàn] accompany; 伙伴, 同伴 companion
蕩|[dàng] swing, sway; loaf about; 扫荡 wipe out; 震荡 shake
珍|[zhēn] (珍宝) treasure: 珍珠 pearl; 珍贵 precious
勇|[yǒng] 勇敢 yǒnggǎn brave; 勇气 courage; 勇士 brave warrior
末|[mò] end, minor details; 末儿 mòr powder; 周末 zhōumò weekend<br /><br />[me] (=么 me); 什末 shénme what?<br /><br />{Compare with 未 wèi haven't}
奮|[fèn] 奋斗 fèndòu struggle; 兴奋 xīngfèn excited
膽|[dǎn] gallbladder, guts, bravery, internal parts
棄|[qì] (放弃 fàngqì, 抛弃 pāoqì) abandon, give up
煩|[fán] be vexed; 麻烦 máfan trouble, bother; 不耐烦 bú nàifán impatient
糊|[hú] paste; 糊涂 hútu muddled<br /><br />[hū] plaster<br /><br />[hù] paste
猶|[yóu] still, yet; 犹豫 yóuyù hesitate; 犹如 yóurú as if
稅|[shuì] tax
培|[péi] 培养 foster, train, develop; 培育 cultivate, breed
抵|[dǐ] support; (抵抗 dǐkàng) resist
僧|[sēng] monk
鋒|[fēng] 锋利 sharp; 冲锋 charge, assault; 先锋 vanguard
乃|[nǎi] be, so, only then, you
遙|[yáo] distant, remote; long
摩|[mó] 按摩 ànmó massage; 摩擦 mócā rub; friction<br /><br />[mā] 摩挲 māsa gently stroke, smooth rub, massage
坦|[tǎn] 平坦 level; 坦然 calm; 坦克 tank
後|[hòu] after
眉|[méi] eyelash; 眉头 brows; 眉毛 eyebrow; 眉目 looks
餐|[cān] meal
慣|[guàn] be used to; 习惯 xíguàn be used to, habit, custom
憑|[píng] lean on, based on, (= 不论 búlùn) no matter
冠|[guān] hat, crown<br /><br />[guàn] first place; 冠军 guànjūn champion
抬|[tái] lift, raise, carry
碰|[pèng] bump into; 碰见 happen to meet
幣|[bì] money, currency; 硬币 coin; 人民币 rénmínbì RMB.
啟|[qǐ] open; start; enlighten; 启发 arouse, inspire
碼|[mǎ] {classifier for cloth, happenings, etc.}>; 两码事 liǎng mǎ shì two entirely differeint things/matters; 码头 mǎtou wharf, dock; 号码 hàomǎ (serial) number, code
冒|[mào] emit, risk, pretend to be, {family name}>; 感冒 catch a cold
汗|[hàn] (汗水 hànshuǐ) sweat, perspiration<br /><br />[hán] 可汗 kèhán
俗|[sú] common, rustic, vulgar, custom; 俗话 proverb, saying
灰|[huī] ash, dust, grey, disheartened
督|[dū] 监督 jiāndū supervise
窮|[qióng] poor; 无穷 wúqióng infinite
頗|[pō] quite, rather
傾|[qīng] lean; 倾向 tendency, prefer; 倾斜 slant
尖|[jiān] point, tip; 尖锐 jiānruì sharp
韓|[Hán] {family name}>; (old name for Korea)
貿|[mào] 贸易 màoyì trade
仿|[fǎng] resemble, be like, (=模仿 mófǎng) imitate, copy; 仿佛 seem; 仿造 copy
孤|[gū] alone; 孤儿 orphan; 孤立 isolated; 孤独 lonely
飄|[piāo] float in the air, flutter; 飘扬 flutter, wave
漫|[màn] overflow; 漫长 endless; 浪漫 làngmàn {loan}> romantic
予|[yǔ] (=予以 yǔyǐ, =给予 jǐyǔ) give, grant<br /><br />[yú] {archaic}> (=吾 wú) I, me
紫|[zǐ] purple, violet
側|[cè] side<br /><br />[zhāi] 侧歪 zhāiwai slant
沿|[yán] along; 沿海 yánhǎi coastal; 沿儿 yánr water's edge
拔|[bá] raise, pull; 提拔 promote; 海拔 elevation
袖|[xiù] (袖子) sleeve; 领袖 leader; 袖珍 pocket-sized; 短袖 duǎnxiù T-shirt
梁|[liáng] bridge, roof beam; 桥梁 bridge; 脊梁骨 backbone
賞|[shǎng] reward, admire; 欣赏 xīnshǎng enjoy, appreciate
幕|[mù] curtain; act (of play); 屏幕 píngmù screen
壁|[bì] wall, cliff; 墙壁 qiángbì wall (la pared)
旦|[dàn] {archaic}> dawn; 一旦 in one day; once; 元旦 New Year's Day
晨|[chén] (早晨 zǎochen) morning
純|[chún] (纯洁 chúnjié) pure; (单纯 dānchún) simple
閉|[bì] shut
涼|[liáng] cool, cold<br /><br />[liàng] make cool
掃|[sǎo] sweep; 打扫 dǎsǎo clean up<br /><br />[sào] 扫帚 sàozhou broom
尤|[yóu] fault; outstanding; 尤其 yóuqí especially
炮|[pào] cannon; 炮弹 shell<br /><br />[bāo] quick-fry<br /><br />[páo] 炮制 concoct
碗|[wǎn] bowl
貼|[tiē] stick, paste, glue, stay close to
插|[chā] insert, stick in; 插头 plug
滾|[gǔn] roll, boil
緣|[yuán] 缘故 cause, reason; 边缘 edge; 绝缘 insulate
寺|[sì] temple, Buddhist monastery
貝|[bèi] shellfish; cowrie; (money); 贝壳 bèiké shell<br /><br />{Compare with 见 jiàn see}
潤|[rùn] 湿润 shīrùn moist; 利润 lìrùn profit; 润滑 rùnhuá lubricate
氏|[shì] surname, family name, (=氏族 shìzú) clan<br /><br />[zhī] 月氏 Yuèzhī Indo-Scyths (nomadic people in Central Asia)
冬|[dōng] (=冬天 dōngtiān, =冬季 dōngjì) winter; 冬眠 dōngmián hibernation; 春夏秋冬 chūnxiàqiūdōng the four seasons
擴|[kuò] 扩大 kuòdà enlarge, expand
欄|[lán] fence, railing
荒|[huāng] desolate, wasteland, famine; 荒谬 huāngmiù absurd
哲|[zhé] 哲学 zhéxué philosophy
逼|[bī] force, compel; close in on
嚇|[xià] frighten, scare<br /><br />[hè] (=恐吓 kǒnghè) threaten, {interj.}>
堆|[duī] pile, heap<br /><br />[zuī] 归里包堆 guīlibāozuī altogether, all in all
撞|[zhuàng] collide, run into
郎|[láng] young man; 新郎 bridegroom. {family name}><br /><br />[làng] 屎壳郎
倆|[liǎ] two, both; 我们俩 wǒmen liǎ the two of us<br /><br />[liǎng] 伎俩 jìliǎng trick, intrigue, maneuver, skill, dexterity, craft
藍|[lán] (蓝色) blue
閑|[xián] idle, free time; 闲话 digression, complaint
辛|[xīn] suffering; 辛苦 xīnkǔ work hard
鏡|[jìng] (=镜子 jìngzi) mirror, lens; 眼镜 yǎnjìng glasses
陪|[péi] (=陪同 péitóng) accompany; 陪嫁 péijià dowry
騎|[qí] ride (horse/bike)<br /><br />[jì] 乘骑 chéngjì saddle horse; rider
蛋|[dàn] egg; 鸡蛋 chicken egg; 蛋白质 protein
促|[cù] urge; urgent; 促进 cùjìn promote; 促使 cùshǐ impel, urge
羊|[yáng] sheep; 山羊 shānyáng goat; 羊年 yángnián year of the Sheep = 8th year
宜|[yí] (=适宜 shìyí) suitable<br /><br />[yi] 便宜 piányi cheap
嘛|[ma] {particle for persuation}><br /><br />[má] {interrogative particle}> (=吗 ma)
顏|[yán] 颜色 yánsè colour; 颜面 yánmiàn face
貧|[pín] (=贫苦 pínkù, =贫穷 píngqióng) poor
幅|[fú] width of cloth, size, {classifier for cloth, paintings etc.}>; 一幅画 a picture
駐|[zhù] stay, halt, be stationed
萍|[píng] (=浮萍 fúpíng) duckweed
污|[wū] foul; 污染 wūrǎn pollution
傑|[jié] 杰出 outstanding; 杰作 masterpiece
撲|[pū] pounce on; flap wings; 扑灭 pūmiè extinguish; 扑克 pūkè {loan}> Poker
壯|[zhuàng] robust, magnificent; 壮丽 majestic; 壮族
薩|[sà] 菩萨 púsà bodhisattva, benevolent being, {family name}>
刑|[xíng] punishment
憂|[yōu] worry, grieve; 忧郁 yōuyù sad; 忧虑 worry about
貌|[mào] (面貌) appearance; 礼貌 polite
獄|[yù] lawsuit; (监狱 jiānyù) prison, jail
塞|[sāi] fill in, stuff, cork<br /><br />[sè] (=堵塞 dǔsè) block up, obstruct<br /><br />[sài] place of strategic importance, border pass
鳳|[fèng] male phoenix (fabulous bird of good omen)
孔|[kǒng] hole; 孔子 Kǒngzǐ Confucius; 面孔 miànkǒng face
觸|[chù] touch; 接触 jiēchù get in touch; 触角 antenna
戀|[liàn] 恋爱 love (as in love affair)
豈|[qǐ] (rhetorical adverb); 岂有此理 qǐyǒucǐlǐ What kind of reasoning is that?, Nonsence!
森|[sēn] (=森林 sēnlín) forest
繁|[fán] numerous; 繁殖 fánzhí breed; 繁荣 flourishing; 繁体字 fán tǐzì full forms of simplified characters
碎|[suì] smash to pieces
津|[jīn] ferry crossing, ford, saliva, sweat, moist, damp; 津津有味 jīnjīnyǒuwèi (to do someting) with pleasure, to be appetizing
俠|[xiá] 侠客 xiákè chivalrous warrior; 侠义 chivalrous
隆|[lóng] 隆重 lóngzhòng grand; 隆起 lóngqǐ swell<br /><br />[lōng] 轰隆隆 hōnglōnglōng tumble, roll
遲|[chí] tardy; 迟到 arrive late; 迟疑 hesitate; 推迟 put off<br /><br />[zhì] 迟旦 zhìdàn dawn, daybreak
輝|[huī] shine; 光辉 radiance, glory; 辉煌 huīhuáng brilliant
狠|[hěn] ruthless
析|[xī] 分析 fēnxī analyse
縮|[suō] shrink
穴|[xué] cave, hole, den, grave, acupuncture point
蕭|[xiāo] desolate
怨|[yuàn] resentment, complain
磨|[mó] rub, wear down<br /><br />[mò] mill, grind(stone)
伏|[fú] bend over, subside; 伏天 hot summer days; 起伏 rise and fall
辭|[cí] take leave; diction, poetry, language
泥|[ní] mud; 泥土 soil<br /><br />[nì] putty
齡|[líng] (年龄) age; duration
徑|[jìng] path, way; (直径 zhíjìng) diameter; 途径 tújìng channel, way, through
鼻|[bí] (=鼻子 bízi) nose; 鼻孔 bíkǒng nostril
賴|[lài] rely; hang around; blame falsely; deny error
仰|[yǎng] face upward; 信仰 xìnyǎng (religious) faith
憤|[fèn] (=气愤 qìfèn, =愤怒 fènnù) angry
慕|[mù] 羡慕 xiànmù envy; admire; 爱慕 àimù adore
俄|[é] very soon, suddenly; 俄国 ?guó Russia
映|[yìng] shine
詢|[xún] 询问 xúnwèn ask about, inquire
慘|[cǎn] tragic; savage
麥|[mài] wheat, etc; 麦片 màipiàn oatmeal; 麦克风 màikèfēng {loan}> microphone
宿|[sù] stay overnight, {family name}><br /><br />[xiǔ] {classifier for nights}>; 住一宿 zhù yì xiǔ stay one night<br /><br />[xiù] constellation in Chinese astronomy
倍|[bèi] times; 三倍 three times (as much)
粗|[cū] thick, rough, coarse
騰|[téng] jump, gallop, vacate; 沸腾 boiling<br /><br />[tēng] thump
稍|[shāo] (稍稍, 稍微) a little, a bit, slightly<br /><br />[shào] 稍息
截|[jié] cut, stop; section, length; 半截 half a section
染|[rǎn] to dye; catch (disease); 染料 dye; 污染 pollution
烏|[wū] (=乌鸦 wūyā) crow, (=乌黑 wūhēi) black; 乌龟 wūguī tortoise<br /><br />{Compare with 马 mǎ horse and 鸟 niǎo bird}
愈|[yù] heal, get better; 愈…愈… (like 越 yuè)
崗|[gǎng] mound, sentry<br /><br />[gāng] 花岗石 huāgāngshí granite<br /><br />[gàng] 岗口 gànkǒu delicious sweet
柳|[liǔ] willow
鋪|[pū] spread, unfold; pave<br /><br />[pù] shop, store; plank bed; 卧铺
涉|[shè] wade, ford, go through, involve; 干涉 gānshè interfere
疾|[jí] (=疾病 jíbìng) illness; 疾苦 jíkǔ hardship
擋|[dǎng] ward off, block, gear (of car)<br /><br />[dàng] 摒挡 bìngdàng arrange, get ready
奉|[fèng] accept, offer; 奉命 receive orders; 奉承 flatter
踏|[tà] step on; 糟蹋 (=糟蹋 zāota) zāota ruin, waste, insult, affront<br /><br />[tā] (=塌 tā) collapse, sink, calm down
忠|[zhōng] faithful
伍|[wǔ] (=五 wǔ) five, {family name}>; 队伍 duìwǔ troops
躲|[duǒ] hide (oneself), avoid, dodge
籍|[jí] book, registry, native place, membership; 国籍 guójí nationality
努|[nǔ] 努力 nǔlì try hard
朗|[lǎng] 爽朗 shuǎnglǎng, 明朗 bright and clear; 朗讼 recite
箱|[xiāng] box
裁|[cái] cut cloth or paper; reduce; decide; sanction
帳|[zhàng] curtain; 蚊帐 mosquito net; 帐篷 tent; account
兼|[jiān] double; simultaneously: 兼容 compatible
彼|[bǐ] 彼此 bǐcǐ each other
霞|[xiá] rosy clouds
豬|[zhū] pig; 猪年 zhūnián the year of the pig = the 12th year
悉|[xī] 熟悉 shúxī know well, be familiar with
扎|[zhā] prick<br /><br />[zhá] 挣扎 zhēngzhá struggle<br /><br />[zā] 包扎
勸|[quàn] advise
薄|[báo] thin<br /><br />[bó] slight; 薄弱 weak<br /><br />[bò] 薄荷 bòhe peppermint
築|[zhù] build, construct; 建筑学 architecture
俊|[jùn] handsome, pretty; 英俊 brilliant, talented
鞋|[xié] shoe
距|[jù] (距离 jùlí) distance
侵|[qīn] (=侵略 qīnlüè, =侵入 qīnrù) invade, intrude into
欣|[xīn] 欣赏 xīnshǎng enjoy
擠|[jǐ] squeeze; crowd; push, jostle; 拥挤 yōngjǐ crowded
媒|[méi] go-between, matchmaker; 媒介 medium, intermediary
吐|[tǔ] spit<br /><br />[tù] (呕吐 ǒutù) vomit
魂|[hún] (灵魂 línghún) soul, spirit, mood
潔|[jié] (=纯洁 chúnjié) pure, (=清洁 qīngjié) clean, sanitay; 洁白 jiébái pure white, spotless
枝|[zhī] branch<br /><br />[qí] (=歧 qí) fork, brach, divergent
盈|[yíng] full; 盈利 yínglì profit, have a surplus
阻|[zǔ] block; 阻止 zǔzhǐ prevent; 电阻 diànzǔ resistance
陷|[xiàn] pit, trap; cave in; 陷入 sink/fall into
甲|[jiǎ] helmet; 指甲 zhījia fingernail; 甲虫 beetle<br /><br />{Compare with 申 shēn explain and 由 yóu from}
鄭|[zhèng] {family name}>; 郑重 zhèngzhòng serious, solemn
鳴|[míng] cry of birds, animals, insects; ring, sound; express
倘|[tǎng] (=倘若 tǎngruò) if, supposing
剩|[shèng] be left over, remain, (=剩余 shèngyú) surplus, left over, remain
顆|[kē] grain, small round object, {classifier for small round things}>; 一颗珠子 yì kē zhūzi one pearl
拖|[tuō] pull, drag; procrastinate
舒|[shū] stretch; 舒服 shūfu comfortable; 舒畅 shūchàng carefree
惠|[huì] 恩惠 ēnhuì favor, kindness; 贤惠 xiánhuì virtuous (女)
昏|[hūn] dusk, dark, to faint
振|[zhèn] shake, stimulate; 振动 vibration; 振奋 inspire
戒|[jiè] forbid; 戒严 jièyán enforce martial law; 戒指 jièzhi ring
喪|[sàng] lose (by death), lose (sth. important); 丧失 sàngshī forfeit<br /><br />[sāng] mourning; 丧事 sāngshì funeral arrangements
焦|[jiāo] burnt; (焦炭) coke; 焦急 jiāojí anxious; 焦点 focus
爬|[pá] crawl, climb<br /><br />[pā] 矮爬爬 ǎipāpā squat, short
凌|[líng] insult; encroach; draw near; 凌晨 língchén before dawn
慧|[huì] 智慧 zhìhuì wisdom
偶|[ǒu] (偶然 ǒurán) by chance, even number<br /><br />{Compare with 奇 jī odd}
晃|[huàng] (摇晃 yáohuang) shake, sway<br /><br />[huǎng] dazzle<br /><br />[huāng]
桃|[táo] (桃子) peach; 桃花 peach blossom; 樱桃 yīngtáo cherry
赤|[chì] red, bare; 赤道 chìdào equator; 赤脚 chìjiǎo barefoot
爛|[làn] messy; 灿烂 cànlàn splendid<br /><br />[lān]
騙|[piàn] (欺骗) deceive; cheat, swindle; 骗局 hoax; 骗子 swindler
措|[cuò] arrange; 措施 cuòshī measure, step
頁|[yè] page
凶|[xiōng] terrible; 凶恶 xiōng'è fiendish; 凶猛 xiōngměng ferocious
泰|[tài] peace, quiet; 泰国 Thailand; 泰山 Tàishān Mount Tai, something of great importance
屍|[shī] corpse, 尸体 shītǐ dead body
坡|[pō] slope, hillside; 坡度 pōdù slope, gradient
勒|[lēi] tie or strap tightly<br /><br />[lè] 勒索 lèsuǒ
療|[liáo] treat, cure; 疗法 therapy
